,Municipality,Latitude,Longitude
668,Wikon,47.2628109,7.9675995
669,Willisau Land,47.116659,8.000007
670,Willisau Stadt,47.120554,7.988886
671,Zell (LU),47.1380513,7.9227913
672,Altdorf (UR),46.8820732,8.6413922
673,Andermatt,46.6340499,8.5948148
674,Attinghausen,46.8617183,8.6288119
675,Bauen,46.9353199,8.579653
676,Bürglen (UR),46.8750762,8.6633076
677,Erstfeld,46.8215088,8.6499636
678,Flüelen,46.9027239,8.6253481
679,Göschenen,46.6676488,8.588703
680,Gurtnellen,46.7376202,8.6281646
681,Hospental,46.6189452,8.5685985
682,Isenthal,46.9102462,8.562013
683,Realp,46.5988457,8.5020509
684,Schattdorf,46.8636973,8.6509309
685,Seedorf (UR),46.8821613,8.6115834
686,Seelisberg,46.977964,8.5858121
687,Silenen,46.7921373,8.6695021
688,Sisikon,46.949336,8.6211018
689,Spiringen,46.8727208,8.7276236
690,Unterschächen,46.8631124,8.7703521
691,Wassen,46.7068488,8.5995804
692,Einsiedeln,47.1286095,8.7500299
693,Gersau,46.9923,8.5264727
694,Feusisberg,47.1867433,8.7486302
695,Freienbach,47.204411,8.7598816
696,Wollerau,47.1957261,8.7194595
697,Küssnacht (SZ),47.08385,8.4386308
698,Altendorf,49.7988053,11.0093027
699,Galgenen,47.1815904,8.8742411
700,Innerthal,47.1055139,8.9183482
701,Lachen,47.9455572,10.2388429
702,Reichenburg,45.9964963,15.4779395
703,Schübelbach,47.1726731,8.9287461
704,Tuggen,47.2022792,8.9424794
705,Vorderthal,47.1220234,8.9008631
706,Wangen (SZ),47.1923115,8.8953915
707,Alpthal,47.0734939,8.7138911
708,Arth,47.0644551,8.5238673
709,Illgau,46.9889935,8.7259577
710,Ingenbohl,47.0007581,8.6150227
711,Lauerz,47.0314122,8.5856436
712,Morschach,46.9821204,8.6191516
713,Muotathal,46.974668,8.7658029
714,Oberiberg,47.0391767,8.7834161
715,Riemenstalden,46.9470789,8.6649487
716,Rothenthurm,47.1047258,8.6748441
717,Sattel,50.338304,16.3154831
718,Schwyz,47.0211848,8.6535598
719,Steinen,50.5739599,7.8104924
720,Steinerberg,48.4571956,13.9437773
721,Unteriberg,47.0598018,8.8035271
722,Alpnach,46.9411661,8.2736829
723,Engelberg,46.8223497,8.4043996
724,Giswil,46.838175,8.1880027
725,Kerns,-16.9206657,145.7721854
726,Lungern,46.7857297,8.1607283
727,Sachseln,46.8688851,8.2392021
728,Sarnen,46.8956729,8.2461492
729,Beckenried,46.9664078,8.4744947
730,Buochs,46.9739978,8.4205883
731,Dallenwil,46.933072,8.3911486
732,Emmetten,46.9565663,8.5128414
733,Ennetbürgen,46.9851867,8.4128263
734,Ennetmoos,46.9569495,8.3374027
735,Hergiswil (NW),46.9840938,8.3104542
736,Oberdorf (NW),46.9575638,8.3855966
737,Stans,46.9570611,8.3661026
738,Stansstad,46.979741,8.3373667
739,Wolfenschiessen,46.9080603,8.3954757
740,Betschwanden,46.9464235,9.0274873
741,Bilten,47.1500911,9.0221711
742,Braunwald,46.9392639,8.9984978
743,Elm,52.6412325,0.1717955
744,Engi,46.9827634,9.1523442
745,Ennenda,47.033828,9.0779218
746,Filzbach,47.1204474,9.1296451
747,Glarus,47.0422116,9.0674041
748,Haslen,46.9802613,9.0562007
749,Leuggelbach,46.9773749,9.0458271
750,Linthal,47.9480886,7.1287943
751,Luchsingen,46.9666929,9.0370301
752,Matt,46.9597027,9.1710353
753,Mitlödi,47.0114661,9.079913
754,Mollis,47.0933604,9.0744112
755,Mühlehorn,47.1169267,9.1731832
756,Näfels,47.0997753,9.0630051
757,Netstal,47.0611321,9.0529651
758,Nidfurn,46.9863273,9.0544126
759,Niederurnen,47.1256182,9.0535784
760,Oberurnen,47.1152482,9.0596848
761,Obstalden,47.1171128,9.1504524
762,Riedern,47.0499479,9.0515165
763,Rüti (GL),46.938047,9.016661
764,Schwanden (GL),46.994436,9.074165
765,Schwändi,47.0054639,9.0671059
766,Sool,47.000259,9.0855088
767,Baar,50.35440955,7.0524441530485245
768,Cham,45.9246705,6.8727506
769,Hünenberg,47.1751834,8.4259648
770,Menzingen,47.178291,8.5899339
771,Neuheim,48.8677773,6.4346889
772,Oberägeri,47.1347395,8.6132732
773,Risch,47.14226175,8.451007703122551
774,Steinhausen,47.1975084,8.4860144
775,Unterägeri,47.1374124,8.584483
776,Walchwil,47.1005277,8.5147778
777,Zug,47.1679898,8.5173652
778,Autavaux,46.8650655,6.8776916
779,Bollion,46.816678,6.8261808
780,Bussy (FR),46.8353706,6.8879852
781,Châbles,46.8266534,6.8097105
782,Châtillon (FR),46.8328121,6.8289185
783,Cheiry,46.750588,6.8361997
784,Cheyres,46.8149828,6.7873331
785,Cugy (FR),46.815539,6.8910259
786,Domdidier,46.8672174,7.0133263
787,Dompierre (FR),46.852082,6.9907202
788,Estavayer-le-Lac,46.8496406,6.8477378
789,Fétigny,46.4402783,5.596741816814628
790,Font,44.5830577,4.3486965
791,Forel (FR),46.8759488,6.8883012
792,Gletterens,46.8953435,6.9375533
793,Léchelles,46.82851,7.0145224
794,Lully (FR),46.8339813,6.8445369
795,Ménières,46.7830908,6.8808343
796,Montagny (FR),46.8046623,6.986444382978725
797,Montbrelloz,46.8538829,6.8858302
798,Morens (FR),46.8438199,6.9070286
799,Murist,46.7906425,6.8072023
800,Nuvilly,46.7830428,6.830987
801,Prévondavaux,46.7277349,6.7935514
802,Rueyres-les-Prés,46.8593178,6.9163554
803,Russy,49.3329383,-0.8198905
804,Saint-Aubin (FR),46.8900349,6.9802104
805,Seiry,46.812692,6.8302953
806,Sévaz,46.8382703,6.8746273
807,Surpierre,46.7445749,6.8607883
808,Vallon,46.882477,6.951657
809,Villeneuve (FR),46.7482194,6.8707467
810,Vuissens,46.7376732,6.7654076
811,Les Montets,46.81029245,6.849962243800802
812,Delley-Portalban,46.9259498,6.940645424094396
813,Auboranges,46.582484,6.805051
814,Billens-Hennens,46.68703185,6.891155069229817
815,Chapelle (Glâne),46.5859079,6.8365374
816,Le Châtelard,45.6870047,6.1354066
817,Châtonnaye,46.752828,6.938321
818,Ecublens (FR),46.6107303,6.8089033
819,Esmonts,46.6396573,6.8520518
820,Grangettes,46.6783349,6.9620824
821,Massonnens,46.6991888,6.975348
822,Mézières (FR),46.678377,6.9264097
823,Montet (Glâne),46.6438707,6.8140532
824,Romont (FR),46.6775844,6.9779194
825,Rue,50.272874,1.6673051
826,Siviriez,46.6576782,6.8769946
827,Ursy,46.6350125,6.8359644
828,Villaz-Saint-Pierre,46.719998,6.956669
829,Vuarmarens,46.6448154,6.8271093
830,Vuisternens-devant-Romont,46.653069,6.92926
831,Villorsonnens,46.70734955,6.996098875719865
832,Torny,46.770835,6.9653043
833,La Folliaz,46.7389221,6.9613203
834,Haut-Intyamon,46.5210722,7.0602291
835,Pont-en-Ogoz,46.6881639,7.076734627695863
836,Botterens,46.6179671,7.1123024
837,Broc,47.5797694,0.166577
838,Bulle,46.89399,6.2233766
839,Cerniat (FR),46.6340323,7.158908
840,Charmey,46.596174899999994,7.17930555186935
841,Châtel-sur-Montsalvens,46.6139677,7.1290698
842,Corbières,43.0547547,1.9970557
843,Crésuz,46.6199886,7.140824
844,Echarlens,46.6475294,7.080368826694413
845,Grandvillard,46.5392932,7.0849664
846,Gruyères,49.7106979,4.6041316
847,Hauteville,50.2736375,2.573024
848,Jaun,46.6113953,7.2761312
849,Marsens,46.6556713,7.0640919
850,Morlon,46.6258516,7.0853862
851,Le Pâquier (FR),46.5950644,7.0527454
852,Pont-la-Ville,48.0826462,4.8909726
853,Riaz,46.640249,7.0616291
854,La Roche,46.6966582,7.1393476
855,Sâles,45.8742767,5.9598575
856,Sorens,46.6701619,7.0612165
857,La Tour-de-Trême,46.6085534,7.0659142
858,Vaulruz,46.6207942,6.9882518
859,Villarbeney,46.6292847,7.1096124
860,Villarvolard,46.6455431,7.1085061
861,Vuadens,46.6174394,7.0233135
862,Bas-Intyamon,46.56277255,7.096653106496181
863,Arconciel,46.7459947,7.1227813
864,Autafond,46.8163989,7.0777243823604135
865,Autigny,49.795391,0.8592043
866,Avry,46.7877054,7.0708826
867,Belfaux,46.8308394,7.093193174038063
868,Chénens,46.7408796,7.0023814
869,Chésopelloz,46.8070066,7.0792605
870,Corminboeuf,46.8116318,7.1052486
871,Corpataux-Magnedens,46.7417673,7.090998460828294
872,Corserey,46.7731527,6.9922571
873,Cottens (FR),46.7521088,7.0326696
874,Ependes (FR),46.7542193,7.1458774
875,Farvagny,46.7288848,7.06418601842616
876,Ferpicloz,46.7468308,7.1643978
877,Fribourg,46.8055656,7.1612669
878,Givisiez,46.8145053,7.1295693
879,Granges-Paccot,46.8239731,7.1441932
880,Grolley,46.8331166,7.0668617
881,Marly,50.3500747,3.5435909
882,Matran,46.7861706,7.0973405
883,Neyruz (FR),46.7651393,7.0647696
884,Noréaz,46.8021303,7.028259
885,Pierrafortscha,46.7869341,7.1855097
886,Ponthaux,46.8159375,7.0431899
887,Le Mouret,46.7487136,7.1718165
888,Prez-vers-Noréaz,46.7858567,7.0150524
889,Rossens (FR),46.724218750000006,7.0978742235181285
890,Le Glèbe,46.70775705,7.02265059628566
891,Senèdes,46.7424166,7.1420677
892,Treyvaux,46.7274425,7.1364409
893,Villars-sur-Glâne,46.791321,7.1161892
894,Villarsel-sur-Marly,46.7627211,7.1693822
895,Vuisternens-en-Ogoz,46.70394655,7.0579231969241665
896,Hauterive (FR),46.7566336,7.0947394
897,La Brillaz,46.765379,7.016702
898,La Sonnaz,46.8349258,7.1192544
899,Agriswil,46.9538359,7.1972709
900,Barberêche,46.8568305,7.1590853
901,Büchslen,46.9445905,7.1797747
902,Courgevaux,46.9075278,7.1110471
903,Courlevon,46.8905097,7.1106549
904,Courtepin,46.8646535,7.125015421552648
905,Cressier (FR),46.8986683,7.1417574
906,Fräschels,46.9979736,7.2075009
907,Galmiz,46.9493808,7.1585965
908,Gempenach,46.9406361,7.1975457
909,Greng,46.9133548,7.090703
910,Gurmels,46.8928043,7.1757732
911,Jeuss,46.9032407,7.1656888
912,Kerzers,46.9761315,7.1972834
913,Kleinbösingen,46.8944182,7.2041572
914,Lurtigen,46.928574,7.1722603
915,Meyriez,46.9234895,7.1067844
916,Misery-Courtion,46.85848535,7.084375103316827
917,Muntelier,46.9386253,7.1305874
918,Murten,46.9288643,7.1163909
919,Ried bei Kerzers,46.9555986,7.1855758
920,Salvenach,46.911338,7.1506919
921,Ulmiz,46.9321113,7.2006542
922,Villarepos,46.8835427,7.0728967
923,Bas-Vully,46.96318075000001,7.105088627343173
924,Haut-Vully,46.9523367,7.075442816257885
925,Wallenried,46.874316,7.114669
926,Alterswil,46.795236,7.2604024
927,Brünisried,46.7601579,7.2780335
928,Düdingen,46.849747,7.1904436
929,Giffers,46.7615024,7.210014
930,Bösingen,48.2387297,8.5583786
931,Heitenried,46.8259771,7.3027277
932,Oberschrot,46.7442608,7.2833892
933,Plaffeien,46.741454,7.2865098
934,Plasselb,46.7354779,7.2516771
935,Rechthalten,46.7675326,7.2400909
936,St. Antoni,41.3784116,2.1617677
937,St. Silvester,46.7410614,7.2193275
938,St. Ursen,46.7899498,7.2183078
939,Schmitten (FR),46.8560556,7.2474014
940,Tafers,46.8152805,7.2167886
941,Tentlingen,46.769765,7.1983411
942,Ueberstorf,46.8650568,7.3114056
943,Wünnewil-Flamatt,46.8747403,7.2761723
944,Zumholz,46.7543307,7.2914152
945,Attalens,46.5110996,6.8489696
946,Bossonnens,46.5217291,6.8495191
947,Châtel-Saint-Denis,46.5265288,6.8996536
948,Granges (Veveyse),46.5245766,6.829546
949,Remaufens,46.5276138,6.8796623
950,Saint-Martin (FR),46.5763293,6.8691224
951,Semsales,46.5740332,6.9291121
952,Le Flon,46.60382965,6.873231415834383
953,La Verrerie,46.5894327,6.9213069
954,Egerkingen,47.3225009,7.7947889
955,Härkingen,47.3069637,7.815973
956,Kestenholz,48.272548,7.4013652
957,Neuendorf,50.283075,6.4598166
958,Niederbuchsiten,47.2977867,7.7713959
959,Oberbuchsiten,47.3117986,7.7652017
960,Oensingen,47.2874895,7.7110465
961,Wolfwil,47.26971,7.794652
962,Aedermannsdorf,47.3054512,7.6101111
963,Balsthal,47.3140365,7.6947764
964,Gänsbrunnen,47.2622928,7.4679582
965,Herbetswil,47.2962466,7.5935558
966,Holderbank (SO),47.3330162,7.7524655
967,Laupersdorf,47.3137417,7.6528853
968,Matzendorf,47.891716,16.214153
969,Mümliswil-Ramiswil,47.342768,7.7038598
970,Welschenrohr,47.2806485,7.5252234
971,Aetigkofen,47.1252482,7.4659137
972,Aetingen,47.1321072,7.5055769
973,Balm bei Messen,47.1041299,7.4314835
974,Bibern (SO),47.147225,7.458348
975,Biezwil,47.1142574,7.4171424
976,Brügglen,47.1427361,7.4956854
977,Brunnenthal,48.4691835,13.4599254
978,Gossliwil,47.1365598,7.4338793
979,Hessigkofen,47.1416185,7.4661542
980,Küttigkofen,47.150838,7.5156072
981,Kyburg-Buchegg,47.1420955,7.5094944
982,Lüsslingen,47.191419,7.501381
983,Lüterkofen-Ichertswil,47.1637839,7.506116985090555
984,Lüterswil-Gächliwil,47.1216153,7.440616705840494
985,Messen,47.0904081,7.4473453
986,Mühledorf (SO),47.135473,7.4766238
987,Nennigkofen,47.1864186,7.4942217
988,Oberramsern,47.1144433,7.4622321
989,Schnottwil,47.1097738,7.391221
990,Tscheppach,47.1469223,7.4797786
991,Unterramsern,47.1192146,7.4824314
992,Bättwil,47.4899611,7.5093058
993,Büren (SO),47.4494992,7.6712535
994,Dornach,47.4806097,7.6176609
995,Gempen,47.475167,7.6602844
996,Hochwald,49.6238084,18.2218883
997,Hofstetten-Flüh,47.4775013,7.504475
998,Metzerlen-Mariastein,47.4659714,7.4658445
999,Nuglar-St. Pantaleon,47.4601498,7.6910021
1000,Rodersdorf,47.4806046,7.4566901
1001,Seewen,47.4354627,7.6582649
1002,Witterswil,47.4858554,7.5248795
1003,Hauenstein-Ifenthal,47.375248,7.8596856
1004,Kienberg,48.0358261,12.46226
1005,Lostorf,47.3852202,7.9462061
1006,Niedererlinsbach,47.398605,8.008341
1007,Niedergösgen,47.3731476,7.9926844
1008,Obererlinsbach,47.406941,8.006947
1009,Obergösgen,47.364104,7.951209
1010,Rohr (SO),47.4100369,7.9538271
1011,Stüsslingen,47.3928859,7.9712891
1012,Trimbach,48.9399791,8.0235967
1013,Winznau,47.3657368,7.9306091
1014,Wisen (SO),47.3923239,7.885972
1015,Aeschi (SO),47.1804202,7.661874
1016,Biberist,47.1810605,7.5626086
1017,Bolken,47.1925815,7.66363
1018,Deitingen,47.21431,7.619244
1019,Derendingen,48.5018486,9.0498594
1020,Etziken,47.1871991,7.6478981
1021,Gerlafingen,47.169342,7.572082
1022,Halten,46.8975676,8.2917942
1023,Heinrichswil-Winistorf,47.157779,7.636123
1024,Hersiwil,47.1659518,7.6351711
1025,Horriwil,47.1821622,7.6223211
1026,Hüniken,47.1848772,7.636925
1027,Kriegstetten,47.175109,7.59906
1028,Lohn-Ammannsegg,47.1710866,7.5267532
1029,Luterbach,47.2145742,7.5839238
1030,Obergerlafingen,47.1624248,7.5840222
1031,Oekingen,47.1785081,7.6046781
1032,Recherswil,47.16125,7.5942522
1033,Steinhof,47.161244,7.68624
1034,Subingen,47.1939523,7.6159259
1035,Zuchwil,47.2037591,7.5594101
1036,Balm bei Günsberg,47.252606,7.5579507
1037,Bellach,47.2134073,7.4983313
1038,Bettlach,47.509586,7.4153329
1039,Feldbrunnen-St. Niklaus,47.2205376,7.555088
1040,Flumenthal,47.2353768,7.5985965
1041,Grenchen,47.1911495,7.3967199
1042,Günsberg,47.2572657,7.5768712
1043,Hubersdorf,47.244383,7.588875
1044,Kammersrohr,47.256025,7.592052
1045,Langendorf,53.1037393,11.248632
1046,Lommiswil,47.228899049999995,7.467649600506032
1047,Niederwil (SO),47.251649,7.5715003
1048,Oberdorf (SO),47.2298497,7.5027671
1049,Riedholz,47.6423491,10.0358247
1050,Rüttenen,47.2316224,7.5308446
1051,Selzach,47.2055081,7.4549158
1052,Boningen,47.306211,7.8551946
1053,Däniken,47.3548647,7.9811789
1054,Dulliken,47.3537179,7.9424681
1055,Eppenberg-Wöschnau,47.3761902,8.0240413
1056,Fulenbach,47.2737235,7.8309213
1057,Gretzenbach,47.3551613,7.9998602
1058,Gunzgen,47.3136554,7.8302701
1059,Hägendorf,47.3331671,7.8365612
1060,Kappel (SO),47.3229823,7.8495476
1061,Olten,47.3496571,7.903787
1062,Rickenbach (SO),47.3405337,7.8572469
1063,Schönenwerd,47.3721555,8.0054417
1064,Starrkirch-Wil,47.3465368,7.925075
1065,Walterswil (SO),47.3245153,7.9654227
1066,Wangen bei Olten,47.3417691,7.8708649
1067,Solothurn,47.2081355,7.5384045
1068,Bärschwil,47.3820245,7.4730851
1069,Beinwil (SO),47.3608078,7.5792172
1070,Breitenbach,48.3657983,7.2930383
1071,Büsserach,47.3915791,7.5405238
1072,Erschwil,47.3735387,7.5416625
1073,Fehren,47.3967459,7.5790875
1074,Grindel,47.3817049,7.5026184
1075,Himmelried,47.4212297,7.5980409
1076,Kleinlützel,47.4259552,7.4172702
1077,Meltingen,47.3877576,7.5898528
1078,Nunningen,47.3939723,7.6197691
1079,Zullwil,47.3905084,7.6000186
1080,Basel,47.5581077,7.5878261
1081,Bettingen,49.9413268,6.3984866
1082,Riehen,47.5816927,7.6479737
1083,Aesch (BL),47.4682447,7.5980395
1084,Allschwil,47.5510799,7.5365611
1085,Arlesheim,47.4931125,7.6202048
1086,Biel-Benken,47.506771,7.520962
1087,Binningen,49.0369745,7.2516945
1088,Birsfelden,47.5542152,7.6304739
1089,Bottmingen,47.5234501,7.5748727
1090,Ettingen,49.0303712,7.1796783
1091,Münchenstein,47.5187909,7.6174515
1092,Muttenz,47.525113,7.6477401
1093,Oberwil (BL),47.5136942,7.5527853
1094,Pfeffingen,47.6608862,6.9348989
1095,Reinach (BL),47.4935369,7.5910891
1096,Schönenbuch,47.5372962,7.5019867
1097,Therwil,47.4992969,7.5574673
1098,Blauen,47.4489135,7.51876
1099,Brislach,47.4181317,7.5433687
1100,Burg im Leimental,47.4578932,7.4414641
1101,Dittingen,47.4383276,7.4989147
1102,Duggingen,47.4520839,7.606511
1103,Grellingen,47.4411563,7.5876358
1104,Laufen,47.9354122,12.930309
1105,Liesberg,47.4038612,7.4314696
1106,Nenzlingen,47.4477386,7.5621906
1107,Roggenburg,48.2770928,10.2311561
1108,Röschenz,47.4239414,7.4759958
1109,Wahlen,49.0266704,6.6252038
1110,Zwingen,47.4377543,7.5280899
1111,Arisdorf,47.5123916,7.7654983
1112,Augst,47.5338077,7.7206018
1113,Bubendorf,47.446684,7.73535
1114,Frenkendorf,47.5028543,7.7138283
1115,Füllinsdorf,47.5056654,7.7299597
1116,Giebenach,47.523792,7.7453139
1117,Hersberg,47.4924281,7.7827302
1118,Lausen,47.4736459,7.7591139
1119,Liestal,47.4839723,7.7347783
1120,Lupsingen,47.4466659,7.6938955
1121,Pratteln,47.5192013,7.6944741
1122,Ramlinsburg,47.4499281,7.7649057
1123,Seltisberg,47.4598282,7.7153815
1124,Ziefen,47.4305811,7.7063432
1125,Anwil,47.4526596,7.942189
1126,Böckten,47.4634028,7.8387155
1127,Buckten,47.4101163,7.8447464
1128,Buus,47.5055264,7.8650401
1129,Diepflingen,47.446478,7.8377491
1130,Gelterkinden,47.4640069,7.8544495
1131,Häfelfingen,47.4150352,7.8657357
1132,Hemmiken,47.4880195,7.8913586
1133,Itingen,47.4665362,7.7877841
1134,Känerkinden,47.4119949,7.8363096
1135,Kilchberg (BL),47.4263362,7.8984684
1136,Läufelfingen,47.3958161,7.8546951
1137,Maisprach,47.5244984,7.8427076
1138,Nusshof,47.4918508,7.8047393
1139,Oltingen,47.4910127,7.3914151
1140,Ormalingen,47.4696552,7.8755353
1141,Rickenbach (BL),47.4846172,7.8513361
1142,Rothenfluh,47.4608887,7.914597
1143,Rümlingen,47.4244356,7.8497922
1144,Rünenberg,47.432095,7.881264
1145,Sissach,47.4634767,7.8125639
1146,Tecknau,47.4501064,7.8832932
1147,Tenniken,47.4363734,7.8116851
1148,Thürnen,47.4556959,7.8294607
1149,Wenslingen,47.440539,7.907641
1150,Wintersingen,47.4949559,7.823229
1151,Wittinsburg,47.4252272,7.839909
1152,Zeglingen,47.4171143,7.9063676
1153,Zunzgen,47.4504005,7.80462
1154,Arboldswil,47.4158911,7.7170041
1155,Bennwil,47.4041393,7.7801695
1156,Bretzwil,47.3970067,7.6508005
1157,Diegten,47.409937,7.809077
1158,Eptingen,47.384777,7.8217213
1159,Hölstein,54.3303858,9.0247398
1160,Lampenberg,47.4267377,7.759649
1161,Langenbruck,47.3498274,7.7681007
1162,Lauwil,47.389819,7.6757885
1163,Liedertswil,47.3915504,7.71798
1164,Niederdorf,50.7288268,12.7885594
1165,Oberdorf (BL),47.3938149,7.7515654
1166,Reigoldswil,47.3974255,7.6918178
1167,Titterten,47.4015489,7.7171561
1168,Waldenburg,48.7503918,7.1965445
1169,Gächlingen,47.7027323,8.499197
1170,Guntmadingen,47.6856829,8.556991
1171,Löhningen,47.7017281,8.5510216
1172,Neunkirch,47.689983,8.5000759
1173,Altdorf (SH),47.7841983,8.6593175
1174,Bibern (SH),47.7732327,8.6770024
1175,Büttenhardt,47.7560054,8.6538298
1176,Dörflingen,47.7073736,8.7203932
1177,Hofen,48.9258996,7.9429127
1178,Lohn (SH),47.7557294,8.670356
1179,Opfertshofen (SH),47.7770473,8.661041
1180,Stetten (SH),47.7368279,8.6590681
1181,Thayngen,47.7470005,8.7061689
1182,Bargen (SH),47.791799,8.6102341
1183,Beringen,51.0502026,5.220809082300834
1184,Buchberg,47.5726201,8.56076
1185,Hemmental,47.7345217,8.5797397
1186,Merishausen,47.7609436,8.6099627
1187,Neuhausen am Rheinfall,47.6811644,8.6197347
1188,Rüdlingen,47.5789455,8.5721611
1189,Schaffhausen,47.6960491,8.634513
1190,Beggingen,47.7666674,8.5363808
1191,Schleitheim,47.7488818,8.4845902
1192,Siblingen,47.7151451,8.519796
1193,Buch (SH),47.7170103,8.7831625
1194,Hemishofen,47.6768621,8.8317626
1195,Ramsen,49.5369008,8.0133261
1196,Stein am Rhein,47.6597323,8.8596823
1197,Hallau,47.6965281,8.4578613
1198,Oberhallau,47.7050973,8.4783357
1199,Trasadingen,47.667977,8.4304278
1200,Wilchingen,47.6674274,8.4668988
1201,Herisau,47.38555,9.2787571
1202,Hundwil,47.3659158,9.3181801
1203,Schönengrund,47.3277476,9.2268899
1204,Schwellbrunn,47.352345,9.2491335
1205,Stein (AR),47.3781046,9.341753950925373
1206,Urnäsch,47.3178621,9.2834506
1207,Waldstatt,47.3563362,9.2838414
1208,Bühler,47.3743991,9.4233806
1209,Gais,46.8331565,11.9474837
1210,Speicher,49.9354628,6.6389817
1211,Teufen (AR),47.392763,9.3947222
1212,Trogen,47.4079877,9.4650591
1213,Grub (AR),47.4481664,9.5094743
1214,Heiden,47.4421715,9.532089
1215,Lutzenberg,47.459378,9.561572
1216,Rehetobel,47.4266831,9.4804482
1217,Reute (AR),47.4195905,9.5726679
1218,Wald (AR),47.414892,9.4916939
1219,Walzenhausen,47.4506581,9.6017721
1220,Wolfhalden,47.4526711,9.5507149
1221,Appenzell,47.3299558,9.4099556
1222,Gonten,-6.9864068,110.7136702
1223,Rüte,47.303675,9.457086
1224,Schlatt-Haslen,47.3680073,9.3677351
1225,Schwende,47.28524715,9.39579203958195
1226,Oberegg,47.4229588,9.5505705
1227,Häggenschwil,47.4944001,9.3460622
1228,Muolen,47.5210784,9.3237585
1229,St. Gallen,47.4250593,9.3765878
1230,Wittenbach,49.0100082,10.3895977
1231,Berg (SG),47.4866016,9.4066582
1232,Eggersriet,47.4425183,9.4704406
1233,Goldach,48.3096901,11.7463481
1234,Mörschwil,47.4675534,9.4227493
1235,Rorschach,47.4779686,9.4914025
1236,Rorschacherberg,47.4687555,9.4945663
1237,Steinach,48.28603445,8.031932887802238
1238,Tübach,47.4857818,9.4509483
1239,Untereggen,47.451635,9.4496415
1240,Au (SG),47.4331806,9.6365141
1241,Balgach,47.4068832,9.6062727
1242,Berneck,47.4249019,9.6102137
1243,Diepoldsau,47.3859513,9.6556042
1244,Rheineck,47.4706336,9.584108
1245,St. Margrethen,47.4510277,9.6410249
1246,Thal,46.5655953,10.7830167
1247,Widnau,47.4053426,9.6356294
1248,Altstätten,47.3782189,9.5413964
1249,Eichberg,46.1081377,11.3027058
1250,Marbach (SG),47.3919868,9.5686092
1251,Oberriet (SG),47.320756,9.5675673
1252,Rebstein,47.398476,9.5822387
1253,Rüthi (SG),47.2955927,9.537187
1254,Buchs (SG),47.1627634,9.4764086
1255,Gams,47.2054106,9.4421264
1256,Grabs,47.1816557,9.4446312
1257,Sennwald,47.2615026,9.5037691
1258,Sevelen,47.1206364,9.4871231
1259,Wartau,47.0926493,9.454812382792628
1260,Bad Ragaz,47.0025282,9.5016438
1261,Flums,47.0939665,9.343589
1262,Mels,47.0467333,9.4192932
1263,Pfäfers,46.9908765,9.5012318
1264,Quarten,47.1072016,9.240747
1265,Sargans,47.0482641,9.4401995
1266,Vilters-Wangs,47.006026649999995,9.41684984933216
1267,Walenstadt,47.1236457,9.3149919
1268,Amden,47.1496317,9.1411228
1269,Benken (SG),47.1929882,8.996394837834345
1270,Kaltbrunn,47.2134573,9.0249831
1271,Rieden,50.3950807,7.1801422
1272,Schänis,47.1591758,9.0466793
1273,Weesen,47.1346737,9.0973561
1274,Ernetschwil,47.237514,9.0000595
1275,Eschenbach (SG),47.274240500000005,8.993146703746941
1276,Goldingen,56.9685757,21.960778
1277,Gommiswald,47.231041,9.0237277
1278,Jona,56.32891745,-6.408400818855068
1279,Rapperswil (SG),47.226665,8.818334
1280,St. Gallenkappel,47.245722,8.9652667
1281,Schmerikon,47.2256001,8.9415774
1282,Uznach,47.2250636,8.9856079
1283,Alt St. Johann,47.1940929,9.2840566
1284,Ebnat-Kappel,47.2635337,9.1233561
1285,Stein (SG),47.2030736,9.232845962688142
1286,Wildhaus,47.2033184,9.3507024
1287,Nesslau-Krummenau,47.225,9.200004
1288,Brunnadern,47.3352253,9.1304283
1289,Hemberg,47.3004656,9.1756588
1290,Krinau,47.3188027,9.051738494793751
1291,Lichtensteig,47.3231436,9.0874862
1292,Oberhelfenschwil,47.3557576,9.1114447
1293,St. Peterzell,47.3176921,9.1763057
1294,Wattwil,47.291534299999995,9.087813825936845
1295,Bütschwil,47.3545519,9.075321167715812
1296,Kirchberg (SG),47.4095086,9.026700891313263
1297,Lütisburg,47.3945011,9.0808205
1298,Mosnang,47.3621638,9.0400516
1299,Degersheim,47.3735896,9.1990317
1300,Flawil,47.414613,9.1861489
1301,Ganterschwil,47.3809923,9.0884271
1302,Jonschwil,47.4231947,9.0865706
1303,Mogelsberg,47.3607886,9.1358183
1304,Oberuzwil,47.4299725,9.1224313
1305,Uzwil,47.4370506,9.1333201
1306,Bronschhofen,47.4756613,9.0369696
1307,Niederbüren,53.1364675,8.6385815
1308,Niederhelfenschwil,47.4748802,9.1856106
1309,Oberbüren,47.450714,9.1611356
1310,Wil (SG),47.465266,9.0415478
1311,Zuzwil (SG),47.4713144,9.1095657
1312,Andwil (SG),47.4384918,9.2720175
1313,Gaiserwald,47.426665,9.3340635
1314,Gossau (SG),47.4155906,9.249359
1315,Waldkirch,48.0939396,7.9610142
1316,Alvaschein,46.6750632,9.5503189
1317,Mon,50.4549568,3.951958
1318,Mutten,46.6781362,9.500036
1319,Stierva,46.6636787,9.5419833
1320,Tiefencastel,46.6615603,9.5764895
1321,Vaz/Obervaz,46.7224925,9.544287189266644
