,Municipality,Latitude,Longitude
152,Rickenbach (ZH),47.5523398,8.7962716
153,Schlatt (ZH),47.4791041,8.8207099
154,Seuzach,47.534596,8.7338342
155,Turbenthal,47.4368146,8.848521
156,Wiesendangen,47.5213051,8.7889904
157,Winterthur,47.4991723,8.7291498
158,Zell (ZH),47.448026,8.8227739
159,Aesch (ZH),47.3373127,8.4398911
160,Birmensdorf (ZH),47.3538481,8.4382157
161,Dietikon,47.4068827,8.4020894
162,Geroldswil,47.4224047,8.4117744
163,Oberengstringen,47.409141,8.4626927
164,Oetwil an der Limmat,47.4278248,8.3964479
165,Schlieren,47.3965147,8.4444861
166,Uitikon,47.3705756,8.4530961
167,Unterengstringen,47.4130929,8.4490943
168,Urdorf,47.384708,8.4259004
169,Weiningen (ZH),47.4199708,8.4366271
170,Zürich,47.3744489,8.5410422
171,Aarberg,47.0443346,7.2753004
172,Bargen (BE),47.0376374,7.2641407
173,Grossaffoltern,47.0667831,7.3608919
174,Kallnach,47.0205806,7.2363159
175,Kappelen,47.617974,7.4384263
176,Lyss,47.0721368,7.305262
177,Meikirch,47.0088655,7.3634614
178,Niederried bei Kallnach,47.0125,7.251392
179,Radelfingen,47.0219382,7.2730856
180,Rapperswil (BE),47.0628191,7.4103359
181,Schüpfen,47.0394266,7.3778982
182,Seedorf (BE),47.0349831,7.3116209
183,Aarwangen,47.239082,7.7701468
184,Auswil,47.132304,7.83405
185,Bannwil,47.2384563,7.7365599
186,Bleienbach,47.1856551,7.7561202
187,Busswil bei Melchnau,47.1876177,7.830830359350621
188,Gondiswil,47.144579,7.8718925
189,Gutenburg,47.1826468,7.7949969
190,Kleindietwil,47.144535,7.7899976
191,Langenthal,49.8309059,7.5737063
192,Leimiswil,47.1500504,7.7638263
193,Lotzwil,47.1903503,7.7896055
194,Madiswil,47.1648367,7.7968153
195,Melchnau,47.1824376,7.8518093
196,Obersteckholz,47.1988034,7.8167121
197,Oeschenbach,47.1150262,7.7527439
198,Reisiswil,47.1643499,7.8452952
199,Roggwil (BE),47.241147,7.8230774
200,Rohrbach,49.0460974,7.2655417
201,Rohrbachgraben,47.1183746,7.7983862
202,Rütschelen,47.1732212,7.7738699
203,Schwarzhäusern,47.2524066,7.7669632
204,Thunstetten,47.2023549,7.7582873
205,Untersteckholz,47.206244,7.843896
206,Ursenbach,47.1369017,7.7711734
207,Wynau,47.2585983,7.8127574
208,Bern,46.9484742,7.4521749
209,Bolligen,46.9755611,7.4983298
210,Bremgarten bei Bern,46.9767749,7.4374969
211,Kirchlindach,46.9997073,7.4142199
212,Köniz,46.9222385,7.4130582
213,Muri bei Bern,46.9290477,7.4870909
214,Oberbalm,46.8730782,7.4026366
215,Stettlen,46.9583564,7.5251524
216,Vechigen,46.94941,7.562916
217,Wohlen bei Bern,46.9708428,7.35592
218,Zollikofen,46.9959463,7.4576417
219,Ittigen,46.9790726,7.4815213
220,Ostermundigen,46.9582779,7.4911242
221,Biel/Bienne,47.1402077,7.2439029
222,Evilard,47.1494705,7.2395711
223,Arch,45.9181327,10.8860953
224,Büetigen,47.1055937,7.3410348
225,Büren an der Aare,47.1390542,7.3740171
226,Busswil bei Büren,47.0993634,7.3221402
227,Diessbach bei Büren,47.1080046,7.3635007
228,Dotzigen,47.1197383,7.341198
229,Lengnau (BE),47.1820974,7.3661348
230,Leuzigen,47.1746607,7.4585386
231,Meienried,47.1400764,7.3379717
232,Meinisberg,47.1593731,7.3463905
233,Oberwil bei Büren,47.1301054,7.4065122
234,Pieterlen,47.1750219,7.3361682
235,Rüti bei Büren,47.1512217,7.4064259
236,Wengi,47.0837858,7.4000603
237,Aefligen,47.0946807,7.5572205
238,Alchenstorf,47.1242996,7.6388514
239,Bäriswil,47.0186014,7.52538
240,Burgdorf,47.0571316,7.6237466
241,Ersigen,47.0945001,7.5962823
242,Hasle bei Burgdorf,47.003260999999995,7.645102512286231
243,Heimiswil,47.0625989,7.6572587
244,Hellsau,47.1462586,7.6487623
245,Hindelbank,47.0418711,7.5383058
246,Höchstetten,47.1431552,7.6322713
247,Kernenried,47.0717509,7.5487983
248,Kirchberg (BE),47.0851733,7.5815131
249,Koppigen,47.1318304,7.601523
250,Krauchthal,47.0080399,7.5669873
251,Lyssach,47.0650881,7.5819291
252,Mötschwil,47.0495151,7.5686179
253,Niederösch,47.1175333,7.6141807
254,Oberburg,46.2960951,14.8057772
255,Oberösch,47.1078843,7.6103641
256,Rüdtligen-Alchenflüh,47.0844316,7.569656974756184
257,Rumendingen,47.1055366,7.6430358
258,Rüti bei Lyssach,47.0555395,7.5779172
259,Willadingen,47.1457379,7.6151653
260,Wynigen,47.1075375,7.6685431
261,Corgémont,47.1947486,7.1447816
262,Cormoret,47.1720786,7.0529541
263,Cortébert,47.1903025,7.107598
264,Courtelary,47.1785533,7.0703235
265,La Ferrière,45.280845,6.085802096183492
266,La Heutte,47.1906648,7.2255703
267,Mont-Tramelan,47.2067202,7.0523346
268,Orvin,47.1606885,7.212695
269,Péry,47.1917831,7.2462466
270,Plagne,43.1571229,1.0602138
271,Renan (BE),47.1262327,6.9267658
272,Romont (BE),47.1887596,7.3410114
273,Saint-Imier,47.151775,6.9971967
274,Sonceboz-Sombeval,47.1967887,7.1705782
275,Sonvilier,47.1390852,6.9665391
276,Tramelan,47.223677,7.1030216
277,Vauffelin,47.1872992,7.2990426
278,Villeret,49.9530556,3.1938889
279,Brüttelen,47.0229548,7.148366
280,Erlach,47.0433028,7.0975115
281,Finsterhennen,47.0232169,7.1808763
282,Gals,47.0270607,7.0486252
283,Gampelen,47.0142261,7.0574393
284,Ins,47.0058984,7.1056472
285,Lüscherz,47.0459222,7.1511459
286,Müntschemier,46.9961633,7.1442384
287,Siselen,47.0325112,7.1882602
288,Treiten,47.0088429,7.1623892
289,Tschugg,47.0263361,7.0764462
290,Vinelz,47.0328313,7.1104574
291,Ballmoos,47.0405733,7.4727205
292,Bangerten,47.0557511,7.4488838
293,Bätterkinden,47.1317799,7.5398908
294,Büren zum Hof,47.0955021,7.515298
295,Deisswil bei Münchenbuchsee,47.0347956,7.4564291
296,Diemerswil,47.019483,7.4282218
297,Etzelkofen,47.0850392,7.4785267
298,Fraubrunnen,47.0861903,7.5253953
299,Grafenried,47.0800768,7.5098526
300,Jegenstorf,47.0498143,7.5085719
301,Iffwil,47.064842,7.4782737
302,Limpach,47.1087989,7.4945374
303,Mattstetten,47.030126,7.5138515
304,Moosseedorf,47.0163655,7.4839011
305,Mülchi,47.100709,7.476074
306,Münchenbuchsee,47.0213315,7.4519196
307,Münchringen,47.0448525,7.5207405
308,Ruppoldsried,47.0874834,7.4243087
309,Schalunen,47.1096589,7.5254945
310,Scheunen,47.0707668,7.4598426
311,Urtenen-Schönbühl,47.01952495,7.503365640336424
312,Utzenstorf,47.1293896,7.5577607
313,Wiggiswil,47.0303538,7.4686887
314,Wiler bei Utzenstorf,47.1512512,7.5583621
315,Zauggenried,47.0730906,7.5398876
316,Zielebach,47.158294,7.5771527
317,Zuzwil (BE),47.0514104,7.4715761
318,Adelboden,46.4927213,7.5587618
319,Aeschi bei Spiez,46.6583588,7.6965086
320,Frutigen,46.5874205,7.6444369
321,Kandergrund,46.5423002,7.6623658
322,Kandersteg,46.4975866,7.6756638
323,Krattigen,46.660973,7.7256121
324,Reichenbach im Kandertal,46.623593,7.6908247
325,Beatenberg,46.6932513,7.783279
326,Bönigen,46.6887343,7.8949281
327,Brienz (BE),46.7560001,8.0303006
328,Brienzwiler,46.7501194,8.1021125
329,Därligen,46.6606497,7.8094165
330,Grindelwald,46.6242733,8.0367462
331,Gsteigwiler,46.6536378,7.874646
332,Gündlischwand,46.6330093,7.9069325
333,Habkern,46.7276046,7.8646663
334,Hofstetten bei Brienz,46.764892,8.079474094291776
335,Interlaken,46.6855231,7.8585139
336,Iseltwald,46.7104598,7.9634571
337,Lauterbrunnen,46.5939043,7.9078016
338,Leissigen,46.6540687,7.7738604
339,Lütschental,46.7733045,7.6968402
340,Matten bei Interlaken,46.6798821,7.8686253
341,Niederried bei Interlaken,46.72392095,7.925977656926486
342,Oberried am Brienzersee,46.737475,7.9619532
343,Ringgenberg (BE),46.7044135,7.8960911
344,Saxeten,46.6370243,7.8327586
345,Schwanden bei Brienz,46.7696073,8.054822686813012
346,Unterseen,46.6871654,7.8496369
347,Wilderswil,46.6633947,7.8629948
348,Aeschlen,46.8365201,7.6426754
349,Arni (BE),46.9341523,7.6635717396387
350,Biglen,46.9263129,7.6278668
351,Bleiken bei Oberdiessbach,46.8147336,7.6397756
352,Bowil,46.8930567,7.6949602
353,Brenzikofen,46.815044,7.616377
354,Freimettigen,46.8677101,7.6277729
355,Grosshöchstetten,46.9079431,7.6385085
356,Häutligen,46.8572147,7.6055227
357,Herbligen,46.8274681,7.6081438
358,Kiesen,46.8195399,7.5848154
359,Konolfingen,46.879415,7.6209846
360,Landiswil,46.9581663,7.6782496
361,Linden,50.6019526,7.8504832
362,Mirchel,46.8951988,7.6481259
363,Münsingen,46.8739775,7.5631943
364,Niederhünigen,46.8772662,7.6387344
365,Oberdiessbach,46.8399962,7.6192848
366,Oberthal,46.9165462,7.6740252
367,Oppligen,46.8199569,7.5955418
368,Rubigen,46.898862,7.5445171
369,Schlosswil,46.9084538,7.6074321
370,Tägertschi,46.8763081,7.5855767
